时间戳记,Prefer Pronounce,Race and Ethnicity,Which institution/university do/did you go to?,"Year Standing (Choose the year the respondent is going to be in the next Autumn, not credit standing)",Major (Type in a Specific Major),Intended/Declared Major,"Have you had a leadership experience? If so, what kind?",NOTES:,Do you see yourself as a leader? Why or Why not?,yes/no,How do you feel about leading a team of 50+ employees as your FIRST JOB after graduation? Explain. (on a scale of 1-10 as ten being most confident),NOTES,NUMBER,Have you been to any career fair at your Institution/University? ,Have you visited the Amazon booth?,What do you remember from the Amazon booth? What did you like/dislike?,What would've improved your experience?,Do you feel that you have career opportunities at Amazon? Explain,What factors prevented you from visiting the Amazon Booth?,NOTES:,"If Amazon was looking for people in your major, would you apply for the job? Why or Why not?",NOTES:,YES/NO/Maybe
2017-7-12 下午07:05:39,He/Him,Asian,University of Washington,Sophmore,International Studies,Declared,In high school I was treasurer for Key Club. I was also a peer mentor and health advocate in high school. I currently serve as the Filipino American Student Association's Historian. ,"Club leader, mentor, Volunteer","Yes because everyone has the capacity to lead, though with different approaches. I feel comfortable using my own approach in coordinating others and making decisions to get a project moving.","yes(everyone, skill(decision,  collaborate))",6. If I am hired to do such a thing it probably means that someone believes in my capability to do so. I would be a bit worried about the employees' expectations of me especially if they have been working there longer.,confident,6,Yes,No,,,,The queue was too long and I thought it was mostly aimed at STEM students.,"Long line, Unrelated",Yes because work experience in a company as big as Amazon would be beneficial. I also assume that compensation would be quite decent.,"experience(big), pay",yes
2017-7-12 下午07:06:02,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Sophmore,Biology,Intended,Yeah I have been the standards of my fraternity ,Club leader(frat),No because I didn't put in the time and effort ,no(lack-practice),7,,7,Yes,No,,,,Too many people surrounding ,Long line,No I want to go to dental school,interest(major),no
2017-7-12 下午07:11:12,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Graduated from college,Public Health,Declared,President for Omega Delta Phi,Club leader(frat),"Yes, because I guide people wisely through tasks great and small.",yes(skill(guide)),7,,7,Yes,No,,,,They don't have any positions that correlate with my major,Unrelated,Yes because it is a good company and fits with my major.,interest(major),yes
2017-7-12 下午07:24:16,He/Him,Asian,University of Washington,Senior,ACMS,Declared,"yes, FIG leader","Small group leader, mentor","yes, i have the skills to lead",yes(skill),im fine with that. 10/10 comfortable,confident,10,Yes,No,,,,"too many people, not very interested working with Amazon yet","Long line, not ready","yes, as long as the job fits my interest",interest(position),yes
2017-7-12 下午07:29:47,He/Him,Asian,University of Washington,Senior,Industrial Engineering,Declared,"Yes, project managed a application design team, captain for science bowl team","Sport leader, small group leader, Organizational leader",Yes,yes,"10, easy. ",confident,10,Yes,No,,,,Not interested in working there,not the first choice,"Bad reputation, low cool factor",interest(company),no
2017-7-12 下午07:35:47,He/Him,Asian,University of Washington,Sophmore,Mechanical engineering,Intended,"Yes, throughout high school and college. Most of it was doing class projects and one of it was being the leader of my filmmaking crew.","Organizational leader, Small group leader","Yes, because I am very observant of the people around me so I'll know if something is wrong or if my members are facing difficulties. I also want to make sure that everyone did their job well.",yes(help),2. For me i would like to start small as in leading a group of less than 5 or 10 people first so I can see how I'll perform in this circumstance.,prefer smaller group,2,No,,,,,,,"No. Because at this moment I still don't have a good foundation in my intended major. However, I might apply for the job as soon as I am confident enough in my knowledge.","interest(major), ready(not)",no
2017-7-12 下午07:37:40,She/Her,Asian,University of Washington,Junior,Biology,Declared,No,No,Yes,yes,6,,6,No,,,,,,,"Yes, because the worst that could happen is that I don't get the job",experience(any),yes
2017-7-12 下午07:55:50,She/Her,Black or African American,University of Washington,Senior,Mechanical Engineering ,Declared,Yes giving guidance to other students,mentor,Yes because I have people ask me for direction in their work that they do.,yes(experience),4. It is too large.,not confident,4,Yes,No,,,,I didn't have it on my list to visit.,Not the first choice,Maybe if it aligned with my goals,interest(goal),maybe
2017-7-12 下午08:03:33,She/Her,Black or African American,Highline College ,Sophmore,Biology ,Intended,Business and management ,Work,"Yes,I have the skills ",yes(skill),7,,7,Yes,No,,,,No reason ,other,Yes,no reason,yes
2017-7-12 下午08:06:35,She/Her,Black or African American,Bellevue Cllege ,Sophmore,Nursing,Intended,Yes. CEO miss Africa Washington ,Work,Yes because I mentor 15 ladies ,yes(experience),10,,10,No,,,,,,,Yes,no reason,yes
2017-7-12 下午08:13:14,She/Her,Black or African American,Edmonds Community College,Freshman,Pharmacy,Intended,Yea.religious,Small group leader,Yes cos I'm born to rule,yes,Great.will be an awesome platform to impact my world,confident,,No,,,,,,,Yea.,no reason,yes
2017-7-12 下午08:22:11,She/Her,Asian,University of Washington,Sophmore,Chemical Engineering,Intended,Yes. Baldwin(my high school) Advancement Office student representative and STAT program senior representative,"Small group leader, mentor, Organizational leader",Yes because I have had a lot of experiences being a leader in different situations and I did pretty well,yes(experience),Might be stressful but I will handle it 9/10 ,confident,9,No,,,,,,,"I don't see a reason why not. Despite I will like it or not, either way this will be a really good experience for me. If I got offered a position and I liked my job, I am working for one of the biggest and most famous companies you know. If I didn't get an offer, I will learn from my mistakes and improve myself for the next opportunity. If I was offered a job but did not enjoy it, I at lease learned about the company culture of Amazon, found about what I liked and did not like of it, figure out what best fits me.It is a gain no matter what. ","experience(any), interest(position), popular",yes
2017-7-12 下午08:23:14,She/Her,Asian,UC Berkeley,Sophmore,Nutritional Science,Declared,founded red cross club in high school,"Club leader, Volunteer, Organizational leader","No. Because I think I am still an introvert, not very open to outside.",no(lack-attributes),5. Since currently I do things basically as a follower. I think it would be difficult for me to be a leader after education for the very first time.,not confident,5,No,,,,,,,Yes. Amazon is a great company so I would definitely learn very much and meet a lot of new people. This would make me more talkative.,"skill(communication), interest(company)",yes
2017-7-12 下午08:27:03,She/Her,Asian,University of Washington,Senior,Psychology ,Declared,Student union,Club leader,Yes,yes,"Will be nervous, but it's doable with preparation ",need training/experience,,Yes,No,,,,Not major related,Unrelated,Yes,no reason,yes
2017-7-12 下午08:32:47,She/Her,Asian,San Francisco state University,Junior,International Business ,Intended,No,No,"In the future, maybe. Reason:  Still need more experience ",no(lack-practice),"3, it takes me longer to adapt a new environment, I would like to observe how others work at my first job. ",need training/experience,3,No,,,,,,,"Yes I would like to give a try, because it is a good opportunity to gain experience. ",experience(any),yes
2017-7-12 下午08:33:12,She/Her,Asian,University of Washington,Junior,Mathematics,Intended,No.,No,No.,no,5,,5,No,,,,,,,Yes. It's a great opportunity to work at great companies like Amazon.,interest(company),yes
2017-7-12 下午08:36:25,She/Her,Asian,University of Washington,Senior,Informatics,Declared,"Not really, not really my thing.",No,"I see it someday in the future, when I have more confident and knowledge to leader others.",no(lack-attributes),"1. Not too comfortable with it, first because it won't happen. Also because I'm still new to my job and not familiar with it yet. I'm sure there is someone else with much better ability to lead these many people. However, if it is a set-work, I will do it to challenge myself.",not confident,1,Yes,Yes,"Honestly, compares to other booths such as Google and Facebook, Amazon was disappointed. When I come over to talk to recruiters, they didn't provide any useful information, they didn't ask what's my ability and if I'm qualified to Amazon and the job title I'm looking for. The only thing I got back is a piece of paper saying applying online. I think the purpose of career fair rather than applying online is that we can talk to the recruiter directly rather than just use a page of the resume. And many recruiters seem inpatient while talking.",Have more patient recruiters and really talk to all the candidates during career fair to see the abilities of them besides what's on the paper.,"I do, as a potential software engineer and who want to stay in Seattle, I think Amazon is the best choice I can have. Also, the business idea of Amazon is surprisingly impressive especially this year. And compare to Microsoft I feel like there is more challenge at Amazon because I'm going to be a new grad and who is looking for the challenge in my career.",,,Yes! This is the opportunities I'm looking for to work for Amazon as a software engineer.,interest(position),
2017-7-12 下午08:41:18,She/Her,Asian,University of Washington,Sophmore,Business Administration,Declared,Yes I've had leadership experience as a part of RSO's and volunteering.,"Club leader, Volunteer",Yes because I have experience leading people and generally feel comfortable doing so.,yes(experience),"On average probably a 5, but it would depend on what the team was for and if I felt like I had enough to offer as a leader.",it depends,5,Yes,No,,,,the line was very long,Long line,it would depend on the location of the job but probably,interest(location),maybe
2017-7-12 下午08:44:04,She/Her,Asian,University of Washington,Sophmore,Accounting and Chinese,Intended,"Yes, teacher assistant and office assistant",Academic Assistant,Not really because sometimes I don't really know what should I do as a leader,no(lack-practice),5,,5,No,,,,,,,Yes because I think it will be a very good experience,experience(any),yes
2017-7-12 下午08:50:59,She/Her,Asian,University of Washington,Sophmore,"Psychology, painting & drawing",Declared,Used to be the leader of propaganda dept in high school student council,Small group leader,"No, not rational enough and no enough experience to a leader",no(lack-practice),6,,6,Yes,No,,,,"Amazon mostly looking for people who majored in CS CE math, stats, info or design. So few opportunity for people majored in other majors",Unrelated,"Definitely yes, Amazon is great company that developing(最近发展很好,如果有更好的词帮我换一下哈哈😂）. Also, Amazon could offer great experience, like corperating with various businesss and kinds of people","experience(any), skill(communication, relationship), interst(company)",yes
2017-7-12 下午08:51:06,She/Her,Asian,Boston University,Sophmore,Earth Science,Intended,Yes. Class President,"Small group leader, Academic Assistant","yes, sometimes, not sure",no,8,,8,Yes,No,,,,I don't know about it,Unaware,Not sure,no reason,maybe
2017-7-12 下午08:53:24,She/Her,Asian,University of Washington,Junior,communication ,Intended,No,No,"I dont see myself as a leader, since I most of the time just follow the instructions and do other told me to do so. ",no(follower),"I felt like it would be an excited experience for me. Since I desperately expect to have a chance to like organize a event myself or host a party, just didn't get the chance. I might afraid of to be fail, but I would rather consider failure is not an option for me. I am not afraid of failing, and instead i like to encounter failing. So for this teams of 50 employees, I would choose to believe myself, do whatever I can to win this battle. Nothing to lose, and everything to win. ",confident,,Yes,No,,,,I didn't see it everywhere on the campus ,Can't find it,"Sure, Amazon is a dream places that most of people won't take a second to consider to not join. ","interest(company), popular",yes
2017-7-12 下午08:53:51,She/Her,Asian,University of Washington,Junior,Applied and computational mathematical science,Declared,No,No,"No, more as a follower",no(follower),"5. Definitely i can try, but not super confident with it since no prior experience.","not confident, need training/experience",5,No,,,,,,,"Yes, it is a good opportunity for me to meet more people, learn skills, and be more confident in future career ","skill(communication, relationship)",yes
2017-7-12 下午08:53:56,She/Her,Black or African American,University of Washington,Sophmore,"Law,  Socities,  and Justice (LSJ) ",Intended,"Of course!  I mentored my junior classmates at High school,  while I was a Senior;  I inspired them to move forward in their Education,  as well as believing that they can make it to College if only they believe in theirselves;  I helped them with résumés and practice interviews;  I also helped them with their personal statements for colleges of their interests! ","mentor, Academic Assistant","Of course!  This is because I served so many organizations,  as well as mentoring those students of my High School; I believe that a true leader is not the one who is the loudest in the room,  but one whose actions of service speaks the loudest,  from a heart that cares for the audience!  I so possess this quality;  fearless in service,  in strength,  and in public speaking! A true leader work towards services indicating love;  and that is who I am! ","yes(experence, personality(outgoing), skills(public speaking))","7; I am comfortable with leading millions and millions of people because I am a strong and confident leader.  But,  I cannot gurantee that for my first job,  I am available for this position.  But,  other than that,  of course;  it will be such an honor to do such job!  I am willing! ",confident,7,Yes,No,,,,Lack of information,Unaware,"No,  because I aspire to be a lawyer for the homeless,  sex trafficking victims,  the invisible and minorities in our world;  I am rather against big corporations and people in power who misuses their power and position,  at the expense of these defenseless individuals!  This matters than helping a corporation like Amazon. ",interest(company),no
2017-7-12 下午08:55:30,She/Her,Asian,Seattle Central College,Sophmore,nursing,Intended,NO,No,"No, I think leadership is a person who needs to make a decision, my character is more indecisively.",no(lack-attributes),"4, I am willing to try to do the best, but I do not like having too much pressure.",not confident,4,Yes,No,,,,Because do not know what is the Amazon Booth.,Unaware,"no, it is completely different things from my profession , do not want to leave my comfortable zone.",interest(major),no
2017-7-12 下午08:58:52,She/Her,Asian,Seattle University,Senior,accounting,Declared,"Yes, has taken leadership position(officer) in honor society",Small group leader,"Yes, able to communicate with different people and listen to different views.",yes(skill(collaborate)),"4, not as confident since I would need more real life experience beforehand, can be a decent assistant though",need training/experience,4,Yes,No,,,,I have never encountered one,Can't find it,"Yes, this will be a great opportunity for me to get real life experience in a big company",experience(big),yes
2017-7-12 下午08:59:14,She/Her,Asian,University of Washington,Senior,Oceanography,Declared,Yes. I tutored peers. ,mentor,Yes. I like to guide people but not always take the leader position,yes(skill(guide)),8. because I am very used to leading group of people. The largest group I have led was about 50-60 people,confident,8,Yes,No,,,,Amazon has nothing do with what I want to do. I want to be a professor.,Unrelated,Will apply because I know Amazon is a well-oriented company. Everything in that company is well-organized,environment(professional),yes
2017-7-12 下午09:05:03,She/Her,Asian,Washington State University,Junior,Nursing,Declared,"Yes, being a member of Student Leadership department of Seattle Central College  ",Small group leader,"Not really, low voice and not quick in making decision",no(lack-attributes),8,,8,Yes,No,,,,I don't know about it,Unaware,"Yes, I'm looking for an opportunity to work in a professional environment so Amazon is a proper place ",environment(professional),yes
2017-7-12 下午09:05:11,She/Her,African,Highline College,Junior,Pre Med,Intended,No,No,"Yes, I am a personable person and I am able to create connections with people. That is a skill I believe that is important to have when leading others.",yes(skill(cooperate)),10 I feel as if college would prepare me to do so.,confident,10,Yes,No,,,,Lack of interest. ,Unrelated,Yes because I feel as every opportunity is a step in the right direction.,experience,yes
2017-7-12 下午09:08:43,She/Her,Asian,University of Washington,Senior,Psychology ,Declared,"Yes, teaching experience ",mentor,"Yes, since teach student",yes(experience),7,,7,Yes,No,,,,Too much people lined up,Long line,"Yes, I am pretty interested in Amazon",no reason,yes
2017-7-12 下午09:12:51,She/Her,Asian,University of Washington,Junior,Pre-Engineering(Civil Engineering),Intended,No,no,No because I'm an introvert. I don't like to handle drama and bad people. ,no(lack-attributes),5,,5,No,,,,,,,"Yes. Eventhough I consider myself as an introvert, I am currently working on improving myself in any aspects of my life especially communication, relationship/partnership, project management and many more, and I believe working in a big company like Amazon might help me to enhance these skills. ","skill(communication, relationship)",yes
2017-7-12 下午09:13:48,She/Her,Asian,University of Washington,Junior,Communication,Declared,"Yes, student organization",Organizational leader,"Yes, coordinator for activity",yes(skill(collaborate)),75% confident,confident,8,Yes,No,,,,Haven't think about it,unaware,"Yes, popular company",popular,yes
2017-7-12 下午09:17:37,She/Her,Asian,University of Washington,Junior,International studies ,Declared,No,No,No,no,3,,3,No,,,,,,,Yes,no reason,yes
2017-7-12 下午09:25:44,She/Her,Indian,University of Washington,Sophmore,Computer Science,Intended,"Mentor at dream project, officer at an RSO and future RA","mentor, Small group leader, Work","Yes. Because I like taking initiative as well as bringing people with good ideas together. I also think I'm good at cooperating and conflict resolution, which helps me facilitate communication and team relationships well.",yes(skill(collaborate)),8,,8,Yes,No,,,,I haven't seen it enough. ,other,Yes I would. Because Amazon is a growing company and i love what they do.,interest(company),yes
2017-7-12 下午09:26:32,She/Her,Asian,University of Washington,Senior,Psychology,Intended,PTK officer (organize event and volunteer group),"Organizational leader, Volunteer","Yes, but not all the time. For me, leadership is the ability to lead and to follow at the same time. ",yes,8,,8,No,,,,,,,Absolutely yes. Because opportunity won't come often. :) ,experience(any),yes
2017-7-12 下午09:28:44,She/Her,Black or African American,Brigham Young University-Idaho ,Junior,Nursing ,Intended,"Yes, I was the Laurel class president in my church Young Women's program. I was also co-captain for my high school cheer-leading team. ","Small group leader, Sport leader","Yes, I have noticed that I can take charge and get things done when other around me don't know what to do or are too afraid to do it. ",yes(help),7. I would feel excited for the opportunity and I would definitely ask for help from others who are more experienced so I can effectively lead a team.,"confident, need training/experience",7,Yes,No,,,,I did not see an Amazon Booth ,can't find,"Yes, to get experience in my chosen field. ","experience(professional), interest(position)",yes
2017-7-12 下午09:30:07,She/Her,Asian,University of Washington,Junior,Biology,Intended,Yes. I am one of the offices in dance club and SASE. ,Club leader,Yes. I am not the typical kind of leader who lead a group directly. But I think I am able to lead through guidance and supporting the group behind the scene,yes(skill(guide)),4 because I am like a more introvert person and not comfortalbe of talking in front of so many people. I think it is hard for me to know everyone of them. My confident level also depends on what I am leading my group to do,"not confident, it depends",4,Yes,No,,,,I was focused on companies related to health area,unrelated,"yes, because it is a big company but I can't think of the reason why Amazon wants people from biology major ",experience(big),yes
2017-7-12 下午09:30:23,She/Her,Asian,University of Washington,Sophmore,Informatics,Intended,A class leader,Academic Assistant,Yes if I practice,yes,2.5,,3,No,,,,,,,"No, too much workload",workload,no
2017-7-12 下午09:31:56,She/Her,Asian,Seattle Central College,Junior,Mass media,Intended,"Yes, leading a teamwork at a organization","Work, Small group leader","Yes, I have the potential to lead but at the same time I can balance with all the members instead of being bossy.",yes(personality(outgoing)),8,,8,Yes,No,,,,Financial aid ,other,Definitely. I would like to use my potential and skills to work in an environment like Amazon.,"experience(any), interest(company, service)",yes
2017-7-12 下午09:39:52,She/Her,Caucasian,Pacific Lutheran University ,Junior,Education,Declared,"6 years of school and community, leadership in work experience as well",Organizational leader,"Yes, I am strong willed, very approachable and extremely outgoing. ",yes(experience),8,confident,8,Yes,No,,,,"Many booths, Amazon wasn't of interest compared to the several others I intended to visit in my short time.",not the first choice,Probably. I like experiencing new things. I like how they treat their costumers and employees and it would be a company I would be proud to work for.,interest(company),no
2017-7-12 下午10:00:51,He/Him,Black or African American,Western Washington University ,Graduate Students,Law ,Declared,Students leadership: Vice President. ,work,"Yes, I have been since when I was young. I would well. ",yes,"Yes, I will okay. ",not confident,,Yes,No,,,,I have not heard anything about them.,unaware,I will not because they are not a good company. ,experience(any),yes
2017-7-12 下午10:02:42,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Junior,Business,Intended,I've been a manager,small group leader,"Yes, because I've seen myself lead.",yes(help),Nervous. That's more than I've done before.,,,No,,,,,,,Yes. A good place to learn what NOT to do because of their employee burnout rate.,"interest(major), experience(professional)",yes
2017-7-12 下午10:05:13,She/Her, African,Highline College,Graduated from college, Criminal Justice,Declared,Yes. A youth leader in my church.,Club leader,Yes because I believe the great kind of leadership is learning how to of service to people while having a good head upon your shoulders. ,"yes(experience,help)",4,confident,4,No,,,,,,,Yes because I believe it would be a great opportunity to exercise my skills and learn more about the area that I'm planning to major in.,interest(major),yes
2017-7-12 下午10:05:35,She/Her,Asian,University of Washington,Senior,Architectural Design,Declared,Korean Chritian Club Secretary ,no,Yes. I have weekly meetings with two students to teach what I learned from my club. I am in a position that nurture freshmen and sophomore to be our next club leaders. I constantly seek how to care and influence others in love and a vision in God.,no(self),"10 I am leading a small group right now, but I am surely going to prepare to serve if that is my job to serve 50+ people. ",,10,No,,,,,,,"Yes. I believe Amazon will need people in my Major, for the students I have seen in the University of Washington not only enjoy their works, but also are perseverence, efficiently work, and take care people around in difficulties.","experience(big, resume)",yes
2017-7-12 下午10:09:08,He/Him,Asian,University of Washington,Sophmore,Informatics,Intended,No,？？？？？,"No, I don't like to take action or responsibilities of many people.",yes(skill(problem-solver)),3,prefer smaller group,3,No,,,,,,,"Yes, because Amazon is a big company that looks good on resume. It also provides a great experience for great pay.",interest(company),yes
2017-7-12 下午10:11:16,She/Her,Black or African American,North Dakota State University ,Junior,Business Administration ,Declared,Multicultural representative ,small group leader,"Yes, because I like to take charge and find solutions to problems in an effective manner.",yes(skill(manage)),Seven because I'll be a little intimidated with the amount of people.,,7,Yes,No,,,,I didn't realize that it was available.,unaware,Yes because I love Amazon and I think it will be a great opportunity to expand my horizon.,interest(company),yes
2017-7-12 下午10:21:14,She/Her,Asian,University of Illinois at Urbana-Champaign,Other,statistics,Intended,yes，leader or teammember,small group leader,yes，because I have good management skills,"yes(skill(problem-solver),help)",5,,5,Yes,No,,,,I don't know,unaware,yes，amazon is a great company,interest(major),yes
2017-7-12 下午10:22:29,She/Her,Asian,University of Washington,Senior,Cinema and Media Studies,Declared,"Future Business Leaders of America, helping colleagues at work/teamwork, directing short films for school",organizational leader,"Yes because I like to challenge myself and help others while also working with them. Moreover, if there is any issue or problem, I would step up to resolve them.",yes(skill(manage)),5,,5,No,,,,,,,"Yes because I think it will be a good opportunity to work with them because for my major, I can imagine doing commercials for Amazon and that would be something new to me because I never made a  commercial before. I can also think of other possibilities besides commercials such as filming for interviews on employers and employees at Amazon to be used as part of a program. ",interest(company),yes
2017-7-12 下午10:25:05,She/Her,Asian,Seattle Central College,Junior,Mass media,Intended,"Yes, leading a teamwork at a organization",no,"Yes, I have the potential to lead but at the same time I can balance with all the members instead of being bossy.",no(lack-attributes),8,not confident,8,Yes,No,,,,Financial aid ,other,Definitely. I would like to use my potential and skills to work in an environment like Amazon.,no reason,yes
